,degree,fanout,fanin
DIABLO,2.0,2.0,1.0
APOBEC3B,1.0,1.0,1.0
NFXL1,0.0,0.0,1.0
STOM,1.0,1.0,1.0
MARK1,0.0,0.0,1.0
BLMH,1.0,1.0,1.0
ATRX,0.0,0.0,1.0
MPG,3.0,3.0,1.0
WDPCP,0.0,0.0,1.0
ENDOU,0.0,0.0,1.0
CACNA1E,1.0,1.0,1.0
IFIT5,0.0,0.0,1.0
PNPLA1,0.0,0.0,1.0
MTCP1,0.0,0.0,1.0
RBMXL1,0.0,0.0,1.0
RELT,0.0,0.0,1.0
ULBP3,1.0,1.0,1.0
ERCC4,5.0,5.0,1.0
KRTAP10-9,0.0,0.0,1.0
FAM217A,0.0,0.0,1.0
SLMAP,0.0,0.0,1.0
TP53I3,1.0,1.0,1.0
CIC,0.0,0.0,1.0
RPAP1,0.0,0.0,1.0
EPHB4,2.0,2.0,1.0
GOLGA3,0.0,0.0,1.0
HSPBP1,0.0,0.0,1.0
CCDC138,0.0,0.0,1.0
BSPRY,0.0,0.0,1.0
SCRN1,0.0,0.0,1.0
MRRF,1.0,1.0,1.0
TSEN15,1.0,1.0,1.0
NME9,0.0,0.0,1.0
UPF2,2.0,2.0,1.0
IFNA14,2.0,2.0,1.0
ZBTB45,0.0,0.0,1.0
NICN1,1.0,1.0,1.0
LYG2,0.0,0.0,1.0
ZNF649,0.0,0.0,1.0
FOXJ3,0.0,0.0,1.0
MRPS27,3.0,3.0,1.0
C1D,1.0,1.0,1.0
VAPB,1.0,1.0,1.0
LRRCC1,0.0,0.0,1.0
AIF1L,0.0,0.0,1.0
RMND5B,0.0,0.0,1.0
BTN3A2,1.0,1.0,1.0
SSBP2,0.0,0.0,1.0
TRUB1,0.0,0.0,1.0
MLF1,0.0,0.0,1.0
ZNF335,0.0,0.0,1.0
NACC1,0.0,0.0,1.0
ELF2,1.0,1.0,1.0
LMBR1L,0.0,0.0,1.0
PARD6A,3.0,3.0,1.0
LDHAL6A,0.0,0.0,1.0
STIP1,1.0,1.0,1.0
IFIH1,7.0,7.0,1.0
FHAD1,0.0,0.0,1.0
TOP1MT,0.0,0.0,1.0
HEATR5A,0.0,0.0,1.0
ANKRD13C,0.0,0.0,1.0
IL17RC,0.0,0.0,1.0
EXOSC1,5.0,5.0,1.0
STXBP5,0.0,0.0,1.0
PLA2G12A,6.0,6.0,1.0
GDF3,0.0,0.0,1.0
GMIP,1.0,1.0,1.0
CHMP6,2.0,2.0,1.0
NLRP9,0.0,0.0,1.0
PZP,0.0,0.0,1.0
ATP6V0E2,3.0,3.0,1.0
KCNMB3,2.0,2.0,1.0
CPNE4,0.0,0.0,1.0
ATP6V0B,3.0,3.0,1.0
SFPQ,1.0,1.0,1.0
KCNE4,2.0,2.0,1.0
ZNF449,0.0,0.0,1.0
SLC11A2,0.0,0.0,1.0
TRRAP,2.0,2.0,1.0
CYBRD1,0.0,0.0,1.0
ISM1,0.0,0.0,1.0
SEMA4B,0.0,0.0,1.0
PRKCB,8.0,8.0,1.0
NSUN5,0.0,0.0,1.0
PEG3,0.0,0.0,1.0
FAM102B,0.0,0.0,1.0
IDO2,1.0,1.0,1.0
STX1A,10.0,10.0,1.0
SGSH,1.0,1.0,1.0
NKIRAS2,0.0,0.0,1.0
WIPI2,1.0,1.0,1.0
RBBP7,13.0,13.0,1.0
TAF4B,6.0,6.0,1.0
STX16,2.0,2.0,1.0
STATH,0.0,0.0,1.0
CACNB1,4.0,4.0,1.0
RHOBTB1,1.0,1.0,1.0
METTL6,0.0,0.0,1.0
SYPL1,0.0,0.0,1.0
FAM186B,0.0,0.0,1.0
FAM47A,0.0,0.0,1.0
PRG3,1.0,1.0,1.0
ZNF347,0.0,0.0,1.0
DCD,0.0,0.0,1.0
LIPE,1.0,1.0,1.0
PAX8,0.0,0.0,1.0
NDUFS7,1.0,1.0,1.0
RNF7,2.0,2.0,1.0
ZNF77,0.0,0.0,1.0
ASB12,2.0,2.0,1.0
ALG11,0.0,0.0,1.0
DAG1,5.0,5.0,1.0
TSPAN8,0.0,0.0,1.0
SPP2,3.0,3.0,1.0
SEZ6L2,0.0,0.0,1.0
MCCC1,2.0,2.0,1.0
WFIKKN2,0.0,0.0,1.0
TMEM120A,0.0,0.0,1.0
RHOT1,2.0,2.0,1.0
DTNA,0.0,0.0,1.0
SEMA7A,1.0,1.0,1.0
FAM83G,0.0,0.0,1.0
CRIM1,0.0,0.0,1.0
STON2,1.0,1.0,1.0
ZIM3,0.0,0.0,1.0
COX18,0.0,0.0,1.0
ATAT1,0.0,0.0,1.0
CARD6,0.0,0.0,1.0
APOBEC2,1.0,1.0,1.0
EMP2,0.0,0.0,1.0
RTBDN,0.0,0.0,1.0
SNUPN,1.0,1.0,1.0
CHRNA6,1.0,1.0,1.0
TNFRSF10D,2.0,2.0,1.0
FAM161A,0.0,0.0,1.0
TTR,3.0,3.0,1.0
NAF1,0.0,0.0,1.0
TGFBI,1.0,1.0,1.0
PLD3,2.0,2.0,1.0
EIF3A,6.0,6.0,1.0
SREBF2,1.0,1.0,1.0
CANX,5.0,5.0,1.0
MOV10,10.0,10.0,1.0
TARS2,1.0,1.0,1.0
KANSL3,1.0,1.0,1.0
HEXB,5.0,5.0,1.0
RP1,0.0,0.0,1.0
IDH3G,2.0,2.0,1.0
DRGX,0.0,0.0,1.0
MASP2,1.0,1.0,1.0
XRCC5,3.0,3.0,1.0
FABP9,1.0,1.0,1.0
UGT2A1,0.0,0.0,1.0
TMEM181,0.0,0.0,1.0
CAMK2N2,0.0,0.0,1.0
FCHSD1,0.0,0.0,1.0
LETMD1,0.0,0.0,1.0
PTH,0.0,0.0,1.0
SMARCE1,2.0,2.0,1.0
CHAT,2.0,2.0,1.0
MIP,1.0,1.0,1.0
EXOC6B,0.0,0.0,1.0
METTL7A,1.0,1.0,1.0
HLF,0.0,0.0,1.0
GNA11,5.0,5.0,1.0
FAM50B,0.0,0.0,1.0
GLUD2,1.0,1.0,1.0
GARS,2.0,2.0,1.0
ZNF697,0.0,0.0,1.0
VARS,1.0,1.0,1.0
TUT1,0.0,0.0,1.0
JMJD8,0.0,0.0,1.0
SPHAR,0.0,0.0,1.0
TTC21B,1.0,1.0,1.0
ZNF471,0.0,0.0,1.0
KLHL26,0.0,0.0,1.0
OR6Q1,1.0,1.0,1.0
ACTR5,1.0,1.0,1.0
DOPEY1,0.0,0.0,1.0
ACAD10,0.0,0.0,1.0
EIF3E,6.0,6.0,1.0
CDK9,8.0,8.0,1.0
RAB10,4.0,4.0,1.0
NONO,0.0,0.0,1.0
ITCH,7.0,7.0,1.0
FBXO10,2.0,2.0,1.0
PHC1,9.0,9.0,1.0
HHAT,0.0,0.0,1.0
FAM49B,1.0,1.0,1.0
ROBO2,4.0,4.0,1.0
CRX,0.0,0.0,1.0
TRIM38,0.0,0.0,1.0
DPAGT1,0.0,0.0,1.0
USP16,1.0,1.0,1.0
CSNK1E,7.0,7.0,1.0
NOTUM,3.0,3.0,1.0
TGFBRAP1,0.0,0.0,1.0
DNM3,3.0,3.0,1.0
CTDSPL,0.0,0.0,1.0
PTAR1,0.0,0.0,1.0
DCX,1.0,1.0,1.0
PARVB,1.0,1.0,1.0
AARS,1.0,1.0,1.0
LDLRAD3,0.0,0.0,1.0
ASB17,2.0,2.0,1.0
AP1S3,4.0,4.0,1.0
XXYLT1,0.0,0.0,1.0
FASTKD1,0.0,0.0,1.0
EPHX1,0.0,0.0,1.0
XPO7,0.0,0.0,1.0
DDAH2,1.0,1.0,1.0
SLC17A7,2.0,2.0,1.0
TMEM42,0.0,0.0,1.0
PLSCR5,0.0,0.0,1.0
HRAS,39.0,39.0,1.0
STT3B,0.0,0.0,1.0
KRBA2,0.0,0.0,1.0
TMED7,2.0,2.0,1.0
GPR119,0.0,0.0,1.0
SLN,0.0,0.0,1.0
MAGED2,1.0,1.0,1.0
TBC1D21,0.0,0.0,1.0
PATL1,1.0,1.0,1.0
MYOD1,1.0,1.0,1.0
PITPNB,1.0,1.0,1.0
TMEM41B,0.0,0.0,1.0
CAMLG,0.0,0.0,1.0
NPVF,0.0,0.0,1.0
SIX4,0.0,0.0,1.0
NEDD1,5.0,5.0,1.0
CTNND1,2.0,2.0,1.0
MYO7B,0.0,0.0,1.0
COG8,3.0,3.0,1.0
FAM180B,0.0,0.0,1.0
OR10R2,1.0,1.0,1.0
SLC4A1AP,0.0,0.0,1.0
DCAF17,1.0,1.0,1.0
N4BP2L1,0.0,0.0,1.0
PIK3CB,16.0,16.0,1.0
OR52E2,1.0,1.0,1.0
BTBD7,0.0,0.0,1.0
DOPEY2,0.0,0.0,1.0
CDC25A,8.0,8.0,1.0
FDCSP,0.0,0.0,1.0
NCAPD2,1.0,1.0,1.0
DHX16,1.0,1.0,1.0
GRM5,2.0,2.0,1.0
LIN28B,0.0,0.0,1.0
SMURF2,8.0,8.0,1.0
TMEM92,0.0,0.0,1.0
KRT25,0.0,0.0,1.0
STAG2,7.0,7.0,1.0
SLC28A3,1.0,1.0,1.0
GLI3,3.0,3.0,1.0
OAF,0.0,0.0,1.0
IQCF5,0.0,0.0,1.0
TMEM2,0.0,0.0,1.0
FUT6,0.0,0.0,1.0
LCE3B,1.0,1.0,1.0
FKBP14,1.0,1.0,1.0
MYH1,0.0,0.0,1.0
ADRA2B,3.0,3.0,1.0
TMEM183A,0.0,0.0,1.0
MED12,1.0,1.0,1.0
TTLL7,1.0,1.0,1.0
TCF3,2.0,2.0,1.0
TWIST2,0.0,0.0,1.0
GFM2,1.0,1.0,1.0
DEFB135,1.0,1.0,1.0
UCK1,1.0,1.0,1.0
HOXB6,0.0,0.0,1.0
HNRNPA1,2.0,2.0,1.0
SLC9B2,0.0,0.0,1.0
SLC9A4,1.0,1.0,1.0
AK8,1.0,1.0,1.0
CHRAC1,0.0,0.0,1.0
MTMR10,1.0,1.0,1.0
OR4A15,1.0,1.0,1.0
MLKL,0.0,0.0,1.0
CA5A,1.0,1.0,1.0
PRODH2,1.0,1.0,1.0
MAP2K2,11.0,11.0,1.0
NOMO3,0.0,0.0,1.0
AMDHD1,1.0,1.0,1.0
ASB18,2.0,2.0,1.0
GRID2,0.0,0.0,1.0
CD44,4.0,4.0,1.0
DDX25,0.0,0.0,1.0
SYNRG,0.0,0.0,1.0
TFDP1,13.0,13.0,1.0
NOL6,2.0,2.0,1.0
ARF1,10.0,10.0,1.0
DNM1,5.0,5.0,1.0
DEFB136,1.0,1.0,1.0
KRTAP13-2,0.0,0.0,1.0
DCC,6.0,6.0,1.0
CFL1,6.0,6.0,1.0
HNRNPUL2,0.0,0.0,1.0
OAT,0.0,0.0,1.0
GATA3,4.0,4.0,1.0
ATP6AP1,2.0,2.0,1.0
CARS,1.0,1.0,1.0
RASD2,0.0,0.0,1.0
MOCS2,1.0,1.0,1.0
TMEM216,1.0,1.0,1.0
ERCC5,3.0,3.0,1.0
APH1B,10.0,10.0,1.0
JARID2,1.0,1.0,1.0
AGPS,2.0,2.0,1.0
SGTB,0.0,0.0,1.0
BHLHB9,0.0,0.0,1.0
RAPGEF3,2.0,2.0,1.0
ECEL1,0.0,0.0,1.0
EHD3,0.0,0.0,1.0
SYS1,1.0,1.0,1.0
ANGEL2,0.0,0.0,1.0
ARL13B,1.0,1.0,1.0
SESN3,1.0,1.0,1.0
HEPH,0.0,0.0,1.0
USP6NL,1.0,1.0,1.0
LCLAT1,2.0,2.0,1.0
DNMT3A,4.0,4.0,1.0
FBXO9,2.0,2.0,1.0
STEAP3,2.0,2.0,1.0
AHR,1.0,1.0,1.0
FAM98C,0.0,0.0,1.0
FCRL5,0.0,0.0,1.0
USP39,1.0,1.0,1.0
ZNF93,0.0,0.0,1.0
PIWIL2,1.0,1.0,1.0
ACCS,0.0,0.0,1.0
RPS28,15.0,15.0,1.0
ARRB2,12.0,12.0,1.0
TXNRD1,6.0,6.0,1.0
SATB1,1.0,1.0,1.0
CYB5RL,1.0,1.0,1.0
POLR2C,23.0,23.0,1.0
PDK1,1.0,1.0,1.0
CCDC148,0.0,0.0,1.0
UBXN8,0.0,0.0,1.0
CAMK2B,3.0,3.0,1.0
DNASE1,0.0,0.0,1.0
ARMC5,0.0,0.0,1.0
NUP153,18.0,18.0,1.0
SYNJ1,3.0,3.0,1.0
MTA2,4.0,4.0,1.0
KRTAP12-2,0.0,0.0,1.0
PDCD7,1.0,1.0,1.0
KLHL21,2.0,2.0,1.0
LY6G5B,0.0,0.0,1.0
SRSF12,0.0,0.0,1.0
SF1,1.0,1.0,1.0
TAF13,7.0,7.0,1.0
GIPC1,0.0,0.0,1.0
PLEK2,0.0,0.0,1.0
ZNF479,0.0,0.0,1.0
DYNC1I2,12.0,12.0,1.0
ECM2,0.0,0.0,1.0
RRAGC,5.0,5.0,1.0
SLC22A13,1.0,1.0,1.0
HOXA3,1.0,1.0,1.0
BHLHA15,0.0,0.0,1.0
FGFR3,8.0,8.0,1.0
CELF4,0.0,0.0,1.0
RNF168,4.0,4.0,1.0
TMEM69,0.0,0.0,1.0
FUNDC2,0.0,0.0,1.0
MATN4,1.0,1.0,1.0
HIPK4,0.0,0.0,1.0
TMEM14C,0.0,0.0,1.0
ANXA2,3.0,3.0,1.0
RANBP6,0.0,0.0,1.0
PDCD4,1.0,1.0,1.0
SHISA4,0.0,0.0,1.0
ARHGEF10,3.0,3.0,1.0
OR9Q1,1.0,1.0,1.0
CCDC136,0.0,0.0,1.0
FAM122B,0.0,0.0,1.0
LRRC47,0.0,0.0,1.0
SDR9C7,0.0,0.0,1.0
ARHGAP26,1.0,1.0,1.0
MITF,1.0,1.0,1.0
PLEKHA6,1.0,1.0,1.0
TUBG2,2.0,2.0,1.0
USPL1,0.0,0.0,1.0
H1FX,0.0,0.0,1.0
PMFBP1,0.0,0.0,1.0
TRIM16L,0.0,0.0,1.0
NTSR2,1.0,1.0,1.0
PHACTR1,0.0,0.0,1.0
EPCAM,0.0,0.0,1.0
PAX6,1.0,1.0,1.0
PNLIPRP1,1.0,1.0,1.0
TTC27,0.0,0.0,1.0
COMMD1,1.0,1.0,1.0
BRDT,0.0,0.0,1.0
KLF9,0.0,0.0,1.0
MBTPS1,4.0,4.0,1.0
HIST3H2A,6.0,6.0,1.0
CHRDL1,3.0,3.0,1.0
ACACA,4.0,4.0,1.0
CYP4F11,4.0,4.0,1.0
DLX2,0.0,0.0,1.0
TEX10,1.0,1.0,1.0
CHPT1,1.0,1.0,1.0
ACYP1,0.0,0.0,1.0
ZNF346,0.0,0.0,1.0
HNF1A,0.0,0.0,1.0
KRT4,0.0,0.0,1.0
EPN2,1.0,1.0,1.0
MTM1,3.0,3.0,1.0
PIGB,1.0,1.0,1.0
CEP72,5.0,5.0,1.0
GBE1,1.0,1.0,1.0
RPE,0.0,0.0,1.0
TSPAN12,0.0,0.0,1.0
KIAA2013,0.0,0.0,1.0
KITLG,3.0,3.0,1.0
OR6C2,1.0,1.0,1.0
CEP97,1.0,1.0,1.0
DMRT1,0.0,0.0,1.0
UBR3,0.0,0.0,1.0
RABL2A,0.0,0.0,1.0
LHPP,1.0,1.0,1.0
SSNA1,5.0,5.0,1.0
PARP2,5.0,5.0,1.0
BLVRA,1.0,1.0,1.0
NUP35,18.0,18.0,1.0
FAM13B,1.0,1.0,1.0
ZRANB1,1.0,1.0,1.0
TRAPPC2L,2.0,2.0,1.0
PGBD1,0.0,0.0,1.0
PGBD2,0.0,0.0,1.0
ZNF804B,0.0,0.0,1.0
FNTB,0.0,0.0,1.0
NID1,1.0,1.0,1.0
PSMC2,47.0,47.0,1.0
ZC3H6,0.0,0.0,1.0
ZGPAT,0.0,0.0,1.0
CDCP1,0.0,0.0,1.0
CCDC73,0.0,0.0,1.0
TMOD1,1.0,1.0,1.0
SLC1A3,2.0,2.0,1.0
ST5,1.0,1.0,1.0
NKRF,0.0,0.0,1.0
SLC22A6,1.0,1.0,1.0
RPF2,0.0,0.0,1.0
RNF4,2.0,2.0,1.0
CHRNA3,1.0,1.0,1.0
TOMM20,3.0,3.0,1.0
LMO1,1.0,1.0,1.0
TMED10,4.0,4.0,1.0
CNNM2,0.0,0.0,1.0
AP1M2,4.0,4.0,1.0
STK11,3.0,3.0,1.0
FKBP15,0.0,0.0,1.0
NCOA5,0.0,0.0,1.0
GNAI2,5.0,5.0,1.0
MAP2K5,1.0,1.0,1.0
TRIM8,0.0,0.0,1.0
IBSP,2.0,2.0,1.0
SHF,0.0,0.0,1.0
GPR139,0.0,0.0,1.0
ZMYND11,0.0,0.0,1.0
DUSP27,0.0,0.0,1.0
ZC3H11A,3.0,3.0,1.0
SLC25A33,0.0,0.0,1.0
ZC3H14,0.0,0.0,1.0
BDH2,1.0,1.0,1.0
SHPRH,1.0,1.0,1.0
ZNF74,0.0,0.0,1.0
BAX,4.0,4.0,1.0
RAB24,2.0,2.0,1.0
ZFYVE9,4.0,4.0,1.0
DZIP1,0.0,0.0,1.0
BRCA1,12.0,12.0,1.0
KRT37,0.0,0.0,1.0
UBE2U,1.0,1.0,1.0
MMP20,1.0,1.0,1.0
SOWAHB,0.0,0.0,1.0
GSTA3,0.0,0.0,1.0
LDHD,1.0,1.0,1.0
INPPL1,3.0,3.0,1.0
SYBU,0.0,0.0,1.0
LANCL1,0.0,0.0,1.0
HOXA5,0.0,0.0,1.0
DKK4,2.0,2.0,1.0
OR10K1,1.0,1.0,1.0
CD209,2.0,2.0,1.0
TERF1,2.0,2.0,1.0
GLB1L2,0.0,0.0,1.0
SLC10A5,0.0,0.0,1.0
BMF,2.0,2.0,1.0
CXCR4,2.0,2.0,1.0
APIP,1.0,1.0,1.0
DIS3,4.0,4.0,1.0
EFCAB3,0.0,0.0,1.0
SS18L1,0.0,0.0,1.0
FAR1,1.0,1.0,1.0
OBSCN,3.0,3.0,1.0
PAPSS1,3.0,3.0,1.0
ZC3H10,0.0,0.0,1.0
IL4R,1.0,1.0,1.0
GPR50,0.0,0.0,1.0
GNPDA2,0.0,0.0,1.0
RASGEF1B,0.0,0.0,1.0
TCN2,3.0,3.0,1.0
ACVR1B,1.0,1.0,1.0
FZD7,1.0,1.0,1.0
IPO8,1.0,1.0,1.0
PLD4,3.0,3.0,1.0
SLC25A3,0.0,0.0,1.0
PTGR2,1.0,1.0,1.0
SUPT6H,2.0,2.0,1.0
APLP1,0.0,0.0,1.0
BCAT1,0.0,0.0,1.0
IRF2,0.0,0.0,1.0
ZNRF3,1.0,1.0,1.0
WNT9B,1.0,1.0,1.0
ZNF131,1.0,1.0,1.0
ZAN,0.0,0.0,1.0
FAM185A,0.0,0.0,1.0
PPIL6,1.0,1.0,1.0
SPDYE6,0.0,0.0,1.0
RANBP3,0.0,0.0,1.0
UBXN2A,0.0,0.0,1.0
KCTD8,0.0,0.0,1.0
AXIN1,16.0,16.0,1.0
LIFR,2.0,2.0,1.0
SRC,47.0,47.0,1.0
DLX1,0.0,0.0,1.0
ARHGEF2,3.0,3.0,1.0
SMYD1,0.0,0.0,1.0
HPGDS,1.0,1.0,1.0
COX19,1.0,1.0,1.0
RABGGTB,2.0,2.0,1.0
ZNF436,0.0,0.0,1.0
GPR12,0.0,0.0,1.0
EIF4EBP2,0.0,0.0,1.0
DDX5,3.0,3.0,1.0
ELF4,0.0,0.0,1.0
NDUFAF1,1.0,1.0,1.0
PDGFB,4.0,4.0,1.0
AP4S1,1.0,1.0,1.0
TDRD9,1.0,1.0,1.0
UBIAD1,1.0,1.0,1.0
SLC26A11,1.0,1.0,1.0
BAK1,1.0,1.0,1.0
GPATCH2,0.0,0.0,1.0
MMS19,1.0,1.0,1.0
ZNF662,0.0,0.0,1.0
KLHL12,1.0,1.0,1.0
CHGB,2.0,2.0,1.0
NPC1,1.0,1.0,1.0
COASY,1.0,1.0,1.0
SIX2,0.0,0.0,1.0
RPL3,12.0,12.0,1.0
CD28,5.0,5.0,1.0
CEP44,0.0,0.0,1.0
FAM131B,1.0,1.0,1.0
NAIF1,0.0,0.0,1.0
OR1A1,1.0,1.0,1.0
OCIAD1,0.0,0.0,1.0
SNRNP48,1.0,1.0,1.0
ZNF222,0.0,0.0,1.0
GXYLT1,0.0,0.0,1.0
OR4F15,1.0,1.0,1.0
OR8B2,1.0,1.0,1.0
TBC1D7,1.0,1.0,1.0
DCTN6,3.0,3.0,1.0
UBE3C,1.0,1.0,1.0
TIFAB,0.0,0.0,1.0
SLC30A7,2.0,2.0,1.0
CBY1,1.0,1.0,1.0
MTRR,4.0,4.0,1.0
PICK1,1.0,1.0,1.0
DLST,2.0,2.0,1.0
IL1RAPL2,1.0,1.0,1.0
ZCCHC10,0.0,0.0,1.0
TAL1,1.0,1.0,1.0
TWF2,0.0,0.0,1.0
PLAG1,0.0,0.0,1.0
RALGAPB,1.0,1.0,1.0
PCMTD1,0.0,0.0,1.0
TTC39B,0.0,0.0,1.0
TIAL1,1.0,1.0,1.0
RBM15B,0.0,0.0,1.0
TRIM16,0.0,0.0,1.0
CCDC22,1.0,1.0,1.0
DNAJC10,0.0,0.0,1.0
GMPPB,0.0,0.0,1.0
SUV39H2,1.0,1.0,1.0
TMUB2,0.0,0.0,1.0
CHMP3,2.0,2.0,1.0
FGF1,18.0,18.0,1.0
AGTRAP,1.0,1.0,1.0
CDKN2C,4.0,4.0,1.0
NCKAP5L,0.0,0.0,1.0
RAB3IL1,1.0,1.0,1.0
GNAQ,5.0,5.0,1.0
ASAP1,1.0,1.0,1.0
DHX58,0.0,0.0,1.0
LRRC8B,1.0,1.0,1.0
TSN,1.0,1.0,1.0
STK32A,0.0,0.0,1.0
HFE,1.0,1.0,1.0
TPR,18.0,18.0,1.0
TPD52L3,0.0,0.0,1.0
DSPP,1.0,1.0,1.0
POU3F1,0.0,0.0,1.0
MAB21L2,0.0,0.0,1.0
COPS2,4.0,4.0,1.0
CDH13,0.0,0.0,1.0
ATG13,1.0,1.0,1.0
GFM1,1.0,1.0,1.0
CBLB,2.0,2.0,1.0
LRTM1,0.0,0.0,1.0
TESK2,0.0,0.0,1.0
DIRC1,0.0,0.0,1.0
ZNF404,0.0,0.0,1.0
YIPF1,0.0,0.0,1.0
NGFR,11.0,11.0,1.0
TUBG1,5.0,5.0,1.0
CGGBP1,0.0,0.0,1.0
SYF2,1.0,1.0,1.0
SLC38A1,2.0,2.0,1.0
LSM6,2.0,2.0,1.0
CYP8B1,5.0,5.0,1.0
CASP2,3.0,3.0,1.0
STK36,0.0,0.0,1.0
ARCN1,2.0,2.0,1.0
PCBP2,2.0,2.0,1.0
CHM,3.0,3.0,1.0
RPS20,15.0,15.0,1.0
ANKRD34A,0.0,0.0,1.0
THG1L,0.0,0.0,1.0
SPINK7,0.0,0.0,1.0
INO80C,1.0,1.0,1.0
AGL,2.0,2.0,1.0
TAOK3,0.0,0.0,1.0
ZNF600,0.0,0.0,1.0
GAPDH,1.0,1.0,1.0
TOB2,0.0,0.0,1.0
LAMA5,3.0,3.0,1.0
PIM1,1.0,1.0,1.0
HYDIN,0.0,0.0,1.0
PRH2,0.0,0.0,1.0
CIDEA,1.0,1.0,1.0
ATF4,0.0,0.0,1.0
RIOK1,1.0,1.0,1.0
TMEM87B,0.0,0.0,1.0
ZBTB48,0.0,0.0,1.0
RAD17,5.0,5.0,1.0
SECISBP2L,0.0,0.0,1.0
DEK,1.0,1.0,1.0
MAPK1,36.0,36.0,1.0
TXNDC5,3.0,3.0,1.0
SOD3,1.0,1.0,1.0
ZNF333,0.0,0.0,1.0
SIKE1,2.0,2.0,1.0
ZFAND3,0.0,0.0,1.0
MPZL2,0.0,0.0,1.0
PTPRD,2.0,2.0,1.0
KIAA1755,0.0,0.0,1.0
SPTSSB,1.0,1.0,1.0
EMD,2.0,2.0,1.0
NOTCH2,7.0,7.0,1.0
PKD2,1.0,1.0,1.0
ASCC2,1.0,1.0,1.0
TRIM58,0.0,0.0,1.0
ZNF177,0.0,0.0,1.0
LRRC39,0.0,0.0,1.0
FRYL,0.0,0.0,1.0
HYAL4,0.0,0.0,1.0
WDR1,1.0,1.0,1.0
APOBEC3H,1.0,1.0,1.0
ELK3,0.0,0.0,1.0
VAV2,11.0,11.0,1.0
RBM12B,0.0,0.0,1.0
ROM1,0.0,0.0,1.0
SPTLC3,1.0,1.0,1.0
AMZ1,0.0,0.0,1.0
ABCC4,1.0,1.0,1.0
RASSF2,0.0,0.0,1.0
FNDC5,0.0,0.0,1.0
