,degree,fanout,fanin
CDCP1,0.0,0.0,1.0
COPG1,2.0,2.0,1.0
ASAP1,1.0,1.0,1.0
CPNE2,0.0,0.0,1.0
TMC3,0.0,0.0,1.0
GPBP1L1,0.0,0.0,1.0
FADD,9.0,9.0,1.0
IRF5,0.0,0.0,1.0
EPN1,2.0,2.0,1.0
DCK,2.0,2.0,1.0
SRM,0.0,0.0,1.0
DPYSL2,2.0,2.0,1.0
CBFA2T2,0.0,0.0,1.0
SIAE,0.0,0.0,1.0
ABHD3,1.0,1.0,1.0
ANXA2,3.0,3.0,1.0
CLTCL1,3.0,3.0,1.0
SRXN1,0.0,0.0,1.0
NSUN6,0.0,0.0,1.0
NUDT6,0.0,0.0,1.0
NRIP3,0.0,0.0,1.0
GABRB3,1.0,1.0,1.0
MPHOSPH6,1.0,1.0,1.0
SIDT2,0.0,0.0,1.0
FBLN7,0.0,0.0,1.0
CCDC85C,0.0,0.0,1.0
RTN4IP1,0.0,0.0,1.0
AJAP1,0.0,0.0,1.0
SH3GL1,4.0,4.0,1.0
TMED2,4.0,4.0,1.0
TMOD3,1.0,1.0,1.0
EHBP1,0.0,0.0,1.0
OR5K4,1.0,1.0,1.0
HCN3,1.0,1.0,1.0
ZNF594,0.0,0.0,1.0
PHF1,1.0,1.0,1.0
PPP4R1,0.0,0.0,1.0
SBNO1,0.0,0.0,1.0
DGKZ,0.0,0.0,1.0
PRICKLE1,1.0,1.0,1.0
GPX8,1.0,1.0,1.0
TMEM170B,0.0,0.0,1.0
EIF4EBP2,0.0,0.0,1.0
DAZAP2,0.0,0.0,1.0
DSCAM,1.0,1.0,1.0
SCML1,0.0,0.0,1.0
CTSH,3.0,3.0,1.0
CSNK1D,7.0,7.0,1.0
SCAP,0.0,0.0,1.0
CD99L2,0.0,0.0,1.0
APAF1,4.0,4.0,1.0
HIST1H2BE,0.0,0.0,1.0
PSIP1,3.0,3.0,1.0
RUVBL1,4.0,4.0,1.0
MAPKAPK5,3.0,3.0,1.0
NSRP1,0.0,0.0,1.0
DESI2,0.0,0.0,1.0
TPD52,1.0,1.0,1.0
IL17RD,1.0,1.0,1.0
OR5D14,1.0,1.0,1.0
ZMYND12,0.0,0.0,1.0
ZNF507,0.0,0.0,1.0
HOXB6,0.0,0.0,1.0
NUDT5,1.0,1.0,1.0
TATDN3,0.0,0.0,1.0
SLC25A38,0.0,0.0,1.0
SLC25A39,0.0,0.0,1.0
TNFSF13,2.0,2.0,1.0
RAP2C,1.0,1.0,1.0
CCDC18,0.0,0.0,1.0
FAM13A,1.0,1.0,1.0
STOX1,0.0,0.0,1.0
DDOST,3.0,3.0,1.0
TXNDC9,0.0,0.0,1.0
RBMXL1,0.0,0.0,1.0
MASP2,1.0,1.0,1.0
PAM,0.0,0.0,1.0
RNF122,0.0,0.0,1.0
FBXO32,2.0,2.0,1.0
WDR45B,1.0,1.0,1.0
GMPPB,0.0,0.0,1.0
LRRC8A,1.0,1.0,1.0
HIP1,0.0,0.0,1.0
DDR2,0.0,0.0,1.0
NARS2,1.0,1.0,1.0
IGSF8,0.0,0.0,1.0
TBK1,9.0,9.0,1.0
LYSMD2,0.0,0.0,1.0
SETMAR,0.0,0.0,1.0
SRSF9,4.0,4.0,1.0
IFIT3,0.0,0.0,1.0
NDRG3,0.0,0.0,1.0
PPM1G,0.0,0.0,1.0
AP5S1,0.0,0.0,1.0
ESYT2,1.0,1.0,1.0
ZMYND11,0.0,0.0,1.0
ZNF624,0.0,0.0,1.0
LIPJ,1.0,1.0,1.0
TSNAX,1.0,1.0,1.0
LYAR,0.0,0.0,1.0
ASXL1,1.0,1.0,1.0
GAR1,1.0,1.0,1.0
TMEM167A,0.0,0.0,1.0
BOK,0.0,0.0,1.0
ZNF514,0.0,0.0,1.0
RAB23,1.0,1.0,1.0
SLC25A51,0.0,0.0,1.0
NAE1,1.0,1.0,1.0
MRFAP1,0.0,0.0,1.0
OTUD5,2.0,2.0,1.0
RMI1,4.0,4.0,1.0
RHOC,7.0,7.0,1.0
SNAI3,0.0,0.0,1.0
GDPD5,1.0,1.0,1.0
ZNF432,0.0,0.0,1.0
INO80D,1.0,1.0,1.0
PHYKPL,2.0,2.0,1.0
SS18L1,0.0,0.0,1.0
PLEKHA1,1.0,1.0,1.0
GOLGA6L1,0.0,0.0,1.0
PABPC4,0.0,0.0,1.0
ZBTB3,0.0,0.0,1.0
PCED1A,0.0,0.0,1.0
PARL,1.0,1.0,1.0
EIF5A,1.0,1.0,1.0
SLC25A13,2.0,2.0,1.0
SH3KBP1,6.0,6.0,1.0
NPHP4,2.0,2.0,1.0
VDAC3,1.0,1.0,1.0
CENPH,5.0,5.0,1.0
MRPL15,3.0,3.0,1.0
SLC9A6,1.0,1.0,1.0
VPS11,0.0,0.0,1.0
EIF5A2,1.0,1.0,1.0
PTAR1,0.0,0.0,1.0
LRRC42,0.0,0.0,1.0
SRRM2,1.0,1.0,1.0
SPATA20,0.0,0.0,1.0
FZD1,2.0,2.0,1.0
TBC1D8B,1.0,1.0,1.0
CBX6,3.0,3.0,1.0
ERBB2,12.0,12.0,1.0
IRAK3,0.0,0.0,1.0
PDLIM3,0.0,0.0,1.0
GTF2B,6.0,6.0,1.0
ACOT9,0.0,0.0,1.0
HM13,0.0,0.0,1.0
SH3YL1,0.0,0.0,1.0
NCOA6,1.0,1.0,1.0
BMP8B,0.0,0.0,1.0
FAR2,1.0,1.0,1.0
LRRC37A,0.0,0.0,1.0
DNAJC30,0.0,0.0,1.0
COL6A3,2.0,2.0,1.0
RALY,0.0,0.0,1.0
WDHD1,0.0,0.0,1.0
ZNF716,0.0,0.0,1.0
ERCC5,3.0,3.0,1.0
TPCN2,0.0,0.0,1.0
HSF2,0.0,0.0,1.0
ZFR2,0.0,0.0,1.0
BUB1B,6.0,6.0,1.0
RNF166,0.0,0.0,1.0
EXTL3,1.0,1.0,1.0
IST1,1.0,1.0,1.0
MBIP,1.0,1.0,1.0
CLHC1,0.0,0.0,1.0
LTV1,1.0,1.0,1.0
SPNS1,0.0,0.0,1.0
FRG1,0.0,0.0,1.0
TNNC2,1.0,1.0,1.0
RNF19B,1.0,1.0,1.0
BPNT1,0.0,0.0,1.0
HAGH,0.0,0.0,1.0
ACTR6,0.0,0.0,1.0
PCYT2,1.0,1.0,1.0
ZNF24,0.0,0.0,1.0
GMCL1,0.0,0.0,1.0
NQO1,1.0,1.0,1.0
DCAF7,2.0,2.0,1.0
YY1,4.0,4.0,1.0
COL11A1,1.0,1.0,1.0
ASTE1,0.0,0.0,1.0
PPP2R2A,4.0,4.0,1.0
NAP1L4,0.0,0.0,1.0
EMC9,0.0,0.0,1.0
ACTN1,4.0,4.0,1.0
DUS1L,0.0,0.0,1.0
ADCY9,6.0,6.0,1.0
RAD54L2,0.0,0.0,1.0
CEP68,0.0,0.0,1.0
NUP133,22.0,22.0,1.0
ZSWIM4,0.0,0.0,1.0
EREG,10.0,10.0,1.0
KLHL2,2.0,2.0,1.0
KCNJ16,3.0,3.0,1.0
MRPS18B,3.0,3.0,1.0
RBM3,0.0,0.0,1.0
CD248,0.0,0.0,1.0
GNAI2,5.0,5.0,1.0
SRSF1,5.0,5.0,1.0
DHRS3,1.0,1.0,1.0
FAM180B,0.0,0.0,1.0
LSS,1.0,1.0,1.0
LPCAT3,3.0,3.0,1.0
DNAH1,0.0,0.0,1.0
CFAP44,0.0,0.0,1.0
NET1,3.0,3.0,1.0
E2F6,1.0,1.0,1.0
RCN2,0.0,0.0,1.0
GUCA2A,0.0,0.0,1.0
RAP2A,0.0,0.0,1.0
ATPAF2,0.0,0.0,1.0
KLHL28,0.0,0.0,1.0
POLDIP2,0.0,0.0,1.0
SLAMF9,0.0,0.0,1.0
DDX23,2.0,2.0,1.0
NXF1,4.0,4.0,1.0
CHPT1,1.0,1.0,1.0
LCP2,5.0,5.0,1.0
NUDCD2,0.0,0.0,1.0
CMIP,0.0,0.0,1.0
TOMM40L,0.0,0.0,1.0
PM20D2,0.0,0.0,1.0
PLCB2,7.0,7.0,1.0
MTERF1,2.0,2.0,1.0
TSR2,0.0,0.0,1.0
LHFPL2,1.0,1.0,1.0
VSX2,0.0,0.0,1.0
TRIM33,1.0,1.0,1.0
XBP1,1.0,1.0,1.0
SLC35E2B,0.0,0.0,1.0
GPR108,0.0,0.0,1.0
PRMT7,1.0,1.0,1.0
PIBF1,0.0,0.0,1.0
TIGAR,1.0,1.0,1.0
NEDD4L,4.0,4.0,1.0
STUB1,4.0,4.0,1.0
UBE2B,4.0,4.0,1.0
ACSL6,1.0,1.0,1.0
ARRDC4,0.0,0.0,1.0
ADIPOR1,1.0,1.0,1.0
PICALM,2.0,2.0,1.0
IRF4,1.0,1.0,1.0
RBM23,0.0,0.0,1.0
ABHD16A,0.0,0.0,1.0
ARSD,2.0,2.0,1.0
DCTPP1,1.0,1.0,1.0
BBIP1,1.0,1.0,1.0
MCM3AP,0.0,0.0,1.0
RCAN3,0.0,0.0,1.0
PLEKHG5,3.0,3.0,1.0
WASL,6.0,6.0,1.0
TTC33,0.0,0.0,1.0
PFDN2,1.0,1.0,1.0
NPRL2,0.0,0.0,1.0
TVP23C,0.0,0.0,1.0
CNPY2,0.0,0.0,1.0
WDR47,0.0,0.0,1.0
LSG1,0.0,0.0,1.0
SCFD2,0.0,0.0,1.0
ADM5,0.0,0.0,1.0
RANBP1,2.0,2.0,1.0
FAM172A,0.0,0.0,1.0
ZNF202,0.0,0.0,1.0
UBIAD1,1.0,1.0,1.0
CAPN1,3.0,3.0,1.0
ACRBP,0.0,0.0,1.0
NSUN2,0.0,0.0,1.0
GOLPH3,0.0,0.0,1.0
ZWILCH,4.0,4.0,1.0
STARD7,1.0,1.0,1.0
ZFYVE16,1.0,1.0,1.0
PRTFDC1,0.0,0.0,1.0
VPS45,1.0,1.0,1.0
TBC1D32,0.0,0.0,1.0
PA2G4,1.0,1.0,1.0
PLCB1,7.0,7.0,1.0
WIPF1,2.0,2.0,1.0
FXYD6,2.0,2.0,1.0
HACE1,1.0,1.0,1.0
SEZ6L2,0.0,0.0,1.0
TBC1D7,1.0,1.0,1.0
CSF1R,1.0,1.0,1.0
ZNF684,0.0,0.0,1.0
TXLNG,0.0,0.0,1.0
TAX1BP1,2.0,2.0,1.0
CDKN1B,8.0,8.0,1.0
ZDHHC6,0.0,0.0,1.0
HHLA3,0.0,0.0,1.0
RAB43,2.0,2.0,1.0
SKP1,26.0,26.0,1.0
TMEM51,0.0,0.0,1.0
TPM2,2.0,2.0,1.0
PPIG,0.0,0.0,1.0
STX16,2.0,2.0,1.0
DCTN2,8.0,8.0,1.0
DENND6A,1.0,1.0,1.0
PSMD3,47.0,47.0,1.0
LAMP1,1.0,1.0,1.0
H1FX,0.0,0.0,1.0
IMMT,1.0,1.0,1.0
MLLT3,2.0,2.0,1.0
CYB5R4,1.0,1.0,1.0
GNAI1,5.0,5.0,1.0
MBTD1,0.0,0.0,1.0
AZIN1,1.0,1.0,1.0
KDELR2,2.0,2.0,1.0
ZNF502,0.0,0.0,1.0
PHKA2,1.0,1.0,1.0
PXMP2,0.0,0.0,1.0
GALNT16,0.0,0.0,1.0
PTGR2,1.0,1.0,1.0
SFRP4,0.0,0.0,1.0
VEZF1,0.0,0.0,1.0
MMD,0.0,0.0,1.0
ISCA1,0.0,0.0,1.0
FEV,0.0,0.0,1.0
CCT6A,5.0,5.0,1.0
NUCB1,2.0,2.0,1.0
MSANTD4,0.0,0.0,1.0
VDR,3.0,3.0,1.0
NUFIP2,0.0,0.0,1.0
RYBP,2.0,2.0,1.0
BTBD3,0.0,0.0,1.0
ICA1,0.0,0.0,1.0
MTFR1L,0.0,0.0,1.0
SLC16A14,0.0,0.0,1.0
RBM5,1.0,1.0,1.0
ACSBG1,1.0,1.0,1.0
PARP16,1.0,1.0,1.0
OR10H4,1.0,1.0,1.0
EPB41L4A,0.0,0.0,1.0
APOL2,0.0,0.0,1.0
SLC12A9,0.0,0.0,1.0
TBX19,0.0,0.0,1.0
SORBS3,1.0,1.0,1.0
APP,9.0,9.0,1.0
SNX1,0.0,0.0,1.0
KRBOX4,0.0,0.0,1.0
YPEL1,0.0,0.0,1.0
HEATR3,0.0,0.0,1.0
CACNA1H,1.0,1.0,1.0
GIN1,0.0,0.0,1.0
DTWD2,0.0,0.0,1.0
FAM122A,0.0,0.0,1.0
HTATIP2,0.0,0.0,1.0
MAVS,6.0,6.0,1.0
UTY,1.0,1.0,1.0
RNFT1,0.0,0.0,1.0
SLC6A6,2.0,2.0,1.0
ODF2L,0.0,0.0,1.0
TCF25,0.0,0.0,1.0
TEKT2,0.0,0.0,1.0
MUC4,5.0,5.0,1.0
ZNF653,0.0,0.0,1.0
NEUROG3,1.0,1.0,1.0
CCNT2,6.0,6.0,1.0
NOL4L,0.0,0.0,1.0
TTC7B,0.0,0.0,1.0
ZNF525,0.0,0.0,1.0
CELA3B,0.0,0.0,1.0
NFKBIB,6.0,6.0,1.0
SET,2.0,2.0,1.0
OGFOD1,0.0,0.0,1.0
SEMA4B,0.0,0.0,1.0
DDX55,0.0,0.0,1.0
GALK2,0.0,0.0,1.0
TMEM184B,0.0,0.0,1.0
RWDD1,0.0,0.0,1.0
TMEM216,1.0,1.0,1.0
STRAP,1.0,1.0,1.0
ETFDH,0.0,0.0,1.0
PPP2R3A,0.0,0.0,1.0
RAB12,2.0,2.0,1.0
MARS,2.0,2.0,1.0
STAG1,7.0,7.0,1.0
KIAA0825,0.0,0.0,1.0
DHX33,0.0,0.0,1.0
OR10W1,1.0,1.0,1.0
BICD2,1.0,1.0,1.0
RIOK2,1.0,1.0,1.0
CDKL3,0.0,0.0,1.0
ZNF433,0.0,0.0,1.0
ATP9B,1.0,1.0,1.0
ECHDC1,0.0,0.0,1.0
ORC2,7.0,7.0,1.0
RCBTB2,0.0,0.0,1.0
EIF4ENIF1,0.0,0.0,1.0
MEFV,1.0,1.0,1.0
ADAT3,0.0,0.0,1.0
CKB,1.0,1.0,1.0
CTNNB1,17.0,17.0,1.0
ERMARD,0.0,0.0,1.0
DYNLL1,16.0,16.0,1.0
MVP,1.0,1.0,1.0
TCL1A,0.0,0.0,1.0
AHCY,2.0,2.0,1.0
USF2,1.0,1.0,1.0
UPF1,2.0,2.0,1.0
ZIM3,0.0,0.0,1.0
PLD3,2.0,2.0,1.0
PBX1,2.0,2.0,1.0
POLR3D,6.0,6.0,1.0
RBM38,0.0,0.0,1.0
ZNF32,0.0,0.0,1.0
DYNAP,0.0,0.0,1.0
ATG16L2,0.0,0.0,1.0
CCDC115,0.0,0.0,1.0
PEX26,0.0,0.0,1.0
BAZ1A,0.0,0.0,1.0
ARHGDIA,3.0,3.0,1.0
CAAP1,0.0,0.0,1.0
UBXN1,0.0,0.0,1.0
ERMP1,0.0,0.0,1.0
AGAP1,0.0,0.0,1.0
PRMT2,0.0,0.0,1.0
VPS26B,0.0,0.0,1.0
JUP,3.0,3.0,1.0
GLE1,0.0,0.0,1.0
EIF2B1,1.0,1.0,1.0
PPIL2,1.0,1.0,1.0
PPP1CA,3.0,3.0,1.0
GART,1.0,1.0,1.0
MATN2,0.0,0.0,1.0
ACOT11,0.0,0.0,1.0
NOMO2,0.0,0.0,1.0
ASB3,2.0,2.0,1.0
GRHL1,1.0,1.0,1.0
ZNF16,0.0,0.0,1.0
PWP1,0.0,0.0,1.0
FBXO30,2.0,2.0,1.0
CHEK2,5.0,5.0,1.0
CCDC138,0.0,0.0,1.0
IFI35,0.0,0.0,1.0
TCP1,6.0,6.0,1.0
BANP,1.0,1.0,1.0
TBC1D9B,0.0,0.0,1.0
TRIM69,1.0,1.0,1.0
FRMD4B,0.0,0.0,1.0
THADA,0.0,0.0,1.0
SAT2,0.0,0.0,1.0
GRAMD4,0.0,0.0,1.0
CALHM2,0.0,0.0,1.0
ZNF333,0.0,0.0,1.0
HNRNPLL,0.0,0.0,1.0
SETD6,1.0,1.0,1.0
COX16,0.0,0.0,1.0
LY6G6C,0.0,0.0,1.0
SLC52A2,1.0,1.0,1.0
SESN3,1.0,1.0,1.0
B4GALT3,2.0,2.0,1.0
TADA1,1.0,1.0,1.0
PRKX,0.0,0.0,1.0
ZNF280D,0.0,0.0,1.0
RAB3A,8.0,8.0,1.0
SPTSSA,1.0,1.0,1.0
UBE2V2,6.0,6.0,1.0
SMAD5,1.0,1.0,1.0
KMT2B,2.0,2.0,1.0
FBXO45,0.0,0.0,1.0
CPT1A,3.0,3.0,1.0
ADPRH,0.0,0.0,1.0
KRTAP4-7,0.0,0.0,1.0
PLSCR1,0.0,0.0,1.0
BCR,2.0,2.0,1.0
CABP2,0.0,0.0,1.0
MTURN,0.0,0.0,1.0
AKT3,15.0,15.0,1.0
SGCE,0.0,0.0,1.0
MED4,1.0,1.0,1.0
TUBGCP2,2.0,2.0,1.0
MTMR10,1.0,1.0,1.0
PUS3,0.0,0.0,1.0
OSTF1,1.0,1.0,1.0
H1F0,2.0,2.0,1.0
FKBP15,0.0,0.0,1.0
NF1,3.0,3.0,1.0
QPCTL,0.0,0.0,1.0
KCNQ1,3.0,3.0,1.0
STX3,1.0,1.0,1.0
SOX21,0.0,0.0,1.0
ELAVL1,2.0,2.0,1.0
FITM1,1.0,1.0,1.0
DPF2,0.0,0.0,1.0
RABL6,0.0,0.0,1.0
LIMS2,0.0,0.0,1.0
PTEN,10.0,10.0,1.0
LRRC29,0.0,0.0,1.0
SYCP2,1.0,1.0,1.0
SLC25A12,2.0,2.0,1.0
ZNF280B,0.0,0.0,1.0
DENND2C,1.0,1.0,1.0
COG3,3.0,3.0,1.0
GAPDH,1.0,1.0,1.0
ADAMTSL5,2.0,2.0,1.0
KLHL8,0.0,0.0,1.0
ZNF212,0.0,0.0,1.0
AP1M1,5.0,5.0,1.0
GID8,0.0,0.0,1.0
SZRD1,0.0,0.0,1.0
AUH,0.0,0.0,1.0
ABTB2,0.0,0.0,1.0
CNOT7,2.0,2.0,1.0
TRIM35,0.0,0.0,1.0
LSM12,0.0,0.0,1.0
IFIT2,0.0,0.0,1.0
PCMTD2,0.0,0.0,1.0
ZRSR2,1.0,1.0,1.0
SNIP1,0.0,0.0,1.0
CLASP2,5.0,5.0,1.0
SIAH2,3.0,3.0,1.0
BBS9,1.0,1.0,1.0
CWC27,1.0,1.0,1.0
SLC35C2,0.0,0.0,1.0
CDK17,0.0,0.0,1.0
RBM15,0.0,0.0,1.0
CCDC96,0.0,0.0,1.0
AUP1,0.0,0.0,1.0
NEK10,0.0,0.0,1.0
BYSL,1.0,1.0,1.0
KCTD12,0.0,0.0,1.0
SLCO3A1,1.0,1.0,1.0
RPS6KA5,6.0,6.0,1.0
FARSB,1.0,1.0,1.0
PHF10,0.0,0.0,1.0
CAPZA1,5.0,5.0,1.0
LEO1,3.0,3.0,1.0
SLC45A3,1.0,1.0,1.0
TERF2,2.0,2.0,1.0
MED16,1.0,1.0,1.0
RXRG,1.0,1.0,1.0
METAP1,0.0,0.0,1.0
VCL,9.0,9.0,1.0
ZNF17,0.0,0.0,1.0
CRISPLD2,1.0,1.0,1.0
OR4K13,1.0,1.0,1.0
GLYR1,0.0,0.0,1.0
APOA1,15.0,15.0,1.0
LIMK2,3.0,3.0,1.0
ANXA1,3.0,3.0,1.0
RAB37,2.0,2.0,1.0
RRP9,2.0,2.0,1.0
MPP5,1.0,1.0,1.0
ZZZ3,1.0,1.0,1.0
SPATA2,0.0,0.0,1.0
ANKRD27,1.0,1.0,1.0
VPS8,0.0,0.0,1.0
KLF9,0.0,0.0,1.0
CELF2,0.0,0.0,1.0
DGKQ,0.0,0.0,1.0
APMAP,0.0,0.0,1.0
IFNLR1,2.0,2.0,1.0
HNRNPF,3.0,3.0,1.0
TMEM244,0.0,0.0,1.0
SPINK5,1.0,1.0,1.0
ING2,2.0,2.0,1.0
TMC4,0.0,0.0,1.0
STAM,6.0,6.0,1.0
POGLUT1,1.0,1.0,1.0
SORBS1,1.0,1.0,1.0
USP11,2.0,2.0,1.0
OSGEP,0.0,0.0,1.0
CMTR1,0.0,0.0,1.0
BLCAP,0.0,0.0,1.0
BRCC3,4.0,4.0,1.0
TM9SF4,0.0,0.0,1.0
RNGTT,3.0,3.0,1.0
ACAD9,1.0,1.0,1.0
ZCCHC8,0.0,0.0,1.0
ZNF124,0.0,0.0,1.0
POR,0.0,0.0,1.0
EIF3G,6.0,6.0,1.0
PPA1,2.0,2.0,1.0
DHRS12,0.0,0.0,1.0
KDM3A,1.0,1.0,1.0
RAP1GDS1,0.0,0.0,1.0
TAB3,8.0,8.0,1.0
TMEM165,0.0,0.0,1.0
FUZ,0.0,0.0,1.0
COL3A1,2.0,2.0,1.0
FTH1,3.0,3.0,1.0
PACS2,0.0,0.0,1.0
GPRC5C,0.0,0.0,1.0
SART3,0.0,0.0,1.0
TMCC1,0.0,0.0,1.0
CAT,2.0,2.0,1.0
CFAP97,0.0,0.0,1.0
YWHAQ,4.0,4.0,1.0
HABP4,1.0,1.0,1.0
CPSF4,7.0,7.0,1.0
FEM1A,1.0,1.0,1.0
ECSIT,1.0,1.0,1.0
KDM6B,2.0,2.0,1.0
MEGF10,0.0,0.0,1.0
ID3,0.0,0.0,1.0
KLHL21,2.0,2.0,1.0
GPR155,0.0,0.0,1.0
RNF187,0.0,0.0,1.0
MAPRE3,0.0,0.0,1.0
UBL4A,0.0,0.0,1.0
CBX7,0.0,0.0,1.0
CHGA,0.0,0.0,1.0
PRKCQ,4.0,4.0,1.0
SULT1A1,0.0,0.0,1.0
PCSK6,3.0,3.0,1.0
ALDH1B1,1.0,1.0,1.0
TCF21,0.0,0.0,1.0
KCNE5,2.0,2.0,1.0
CTSO,1.0,1.0,1.0
KCNK6,2.0,2.0,1.0
LENG8,0.0,0.0,1.0
PCGF5,1.0,1.0,1.0
PRKCI,3.0,3.0,1.0
TDP1,1.0,1.0,1.0
LRRC40,0.0,0.0,1.0
FBLN2,1.0,1.0,1.0
MICA,1.0,1.0,1.0
ABCA2,1.0,1.0,1.0
TKT,1.0,1.0,1.0
AGPAT4,1.0,1.0,1.0
DNPH1,0.0,0.0,1.0
TFAP4,0.0,0.0,1.0
ZNF200,0.0,0.0,1.0
ITFG2,0.0,0.0,1.0
NLRC3,0.0,0.0,1.0
CREBRF,1.0,1.0,1.0
CWF19L2,0.0,0.0,1.0
RAB28,0.0,0.0,1.0
DLG4,9.0,9.0,1.0
CASP3,10.0,10.0,1.0
AFF1,0.0,0.0,1.0
UNC93B1,1.0,1.0,1.0
AMER1,11.0,11.0,1.0
GPN1,0.0,0.0,1.0
MOGAT3,1.0,1.0,1.0
SRP68,1.0,1.0,1.0
NOTCH4,8.0,8.0,1.0
MAZ,0.0,0.0,1.0
SIPA1L3,0.0,0.0,1.0
RAB2B,1.0,1.0,1.0
PHOSPHO1,2.0,2.0,1.0
LAD1,0.0,0.0,1.0
SEC13,7.0,7.0,1.0
RIT1,1.0,1.0,1.0
UBL7,0.0,0.0,1.0
ACTR10,4.0,4.0,1.0
IGF2BP3,1.0,1.0,1.0
TBC1D20,2.0,2.0,1.0
SSBP2,0.0,0.0,1.0
FDXACB1,0.0,0.0,1.0
TAOK3,0.0,0.0,1.0
CUTC,1.0,1.0,1.0
PPCS,1.0,1.0,1.0
NDUFAF7,1.0,1.0,1.0
IVNS1ABP,0.0,0.0,1.0
NCSTN,11.0,11.0,1.0
CDK9,8.0,8.0,1.0
ITK,2.0,2.0,1.0
TMPRSS15,0.0,0.0,1.0
TXNDC17,0.0,0.0,1.0
AXL,0.0,0.0,1.0
TMEM263,0.0,0.0,1.0
KRTAP10-10,0.0,0.0,1.0
FAM219A,0.0,0.0,1.0
WDR33,5.0,5.0,1.0
CETN3,0.0,0.0,1.0
PDZRN4,0.0,0.0,1.0
KIAA1324L,0.0,0.0,1.0
ACOT8,4.0,4.0,1.0
RPL26L1,12.0,12.0,1.0
FZD2,4.0,4.0,1.0
ILF2,1.0,1.0,1.0
DPH6,1.0,1.0,1.0
LY6H,0.0,0.0,1.0
LRRC37B,0.0,0.0,1.0
MPHOSPH10,2.0,2.0,1.0
PIGY,1.0,1.0,1.0
BCLAF1,0.0,0.0,1.0
PPP1R12C,0.0,0.0,1.0
HLTF,1.0,1.0,1.0
ARG1,2.0,2.0,1.0
BABAM1,4.0,4.0,1.0
SFRP1,1.0,1.0,1.0
PRR3,0.0,0.0,1.0
GRB7,4.0,4.0,1.0
USP4,2.0,2.0,1.0
SMTNL1,0.0,0.0,1.0
SIKE1,2.0,2.0,1.0
PDCD4,1.0,1.0,1.0
DEFB123,1.0,1.0,1.0
PCMTD1,0.0,0.0,1.0
FAM49A,0.0,0.0,1.0
LSM4,2.0,2.0,1.0
HIST3H2A,6.0,6.0,1.0
