,fanin,fanout,degree
R-HSA-140875,1.0,1.0,2.0
R-HSA-203765,3.0,1.0,4.0
R-HSA-2990846,2.0,1.0,3.0
R-HSA-6802957,6.0,1.0,7.0
R-HSA-453274,2.0,1.0,3.0
R-HSA-391160,1.0,1.0,2.0
R-HSA-1632852,1.0,1.0,2.0
R-HSA-5339562,4.0,1.0,5.0
R-HSA-2534343,1.0,1.0,2.0
R-HSA-163358,1.0,1.0,2.0
R-HSA-373755,5.0,1.0,6.0
