,fanin,fanout,degree
R-HSA-5633007,121.0,1.0,122.0
R-HSA-5633008,30.0,1.0,31.0
R-HSA-6791312,28.0,1.0,29.0
R-HSA-6796648,48.0,1.0,49.0
R-HSA-3296197,0.0,1.0,1.0
R-HSA-375276,65.0,1.0,66.0
R-HSA-375280,19.0,1.0,20.0
R-HSA-375281,5.0,1.0,6.0
R-HSA-391903,2.0,1.0,3.0
R-HSA-418038,4.0,1.0,5.0
R-HSA-419408,5.0,1.0,6.0
R-HSA-419771,7.0,1.0,8.0
R-HSA-444209,1.0,1.0,2.0
R-HSA-419812,2.0,1.0,3.0
R-HSA-420092,21.0,1.0,22.0
R-HSA-379397,1.0,1.0,2.0
R-HSA-379398,1.0,1.0,2.0
R-HSA-380287,56.0,1.0,57.0
R-HSA-380612,1.0,1.0,2.0
R-HSA-389357,14.0,1.0,15.0
R-HSA-389359,8.0,1.0,9.0
R-HSA-389957,14.0,1.0,15.0
R-HSA-389960,13.0,1.0,14.0
R-HSA-390450,6.0,1.0,7.0
R-HSA-389599,5.0,1.0,6.0
R-HSA-389887,5.0,1.0,6.0
R-HSA-390247,7.0,1.0,8.0
R-HSA-392451,18.0,1.0,19.0
R-HSA-418217,16.0,1.0,17.0
R-HSA-399719,18.0,1.0,19.0
R-HSA-399710,2.0,1.0,3.0
R-HSA-434316,6.0,1.0,7.0
R-HSA-416550,5.0,1.0,6.0
R-HSA-416572,14.0,1.0,15.0
R-HSA-4608870,42.0,1.0,43.0
R-HSA-5099900,8.0,1.0,9.0
R-HSA-5140745,3.0,1.0,4.0
R-HSA-881907,12.0,1.0,13.0
R-HSA-381753,218.0,1.0,219.0
R-HSA-420597,1.0,1.0,2.0
R-HSA-432720,27.0,1.0,28.0
R-HSA-432722,48.0,1.0,49.0
R-HSA-435354,8.0,1.0,9.0
R-HSA-427589,1.0,1.0,2.0
R-HSA-438064,21.0,1.0,22.0
R-HSA-5218920,20.0,1.0,21.0
R-HSA-5218921,12.0,1.0,13.0
R-HSA-438066,11.0,1.0,12.0
R-HSA-448706,2.0,1.0,3.0
R-HSA-9007892,1.0,1.0,2.0
R-HSA-9008059,14.0,1.0,15.0
R-HSA-9012546,1.0,1.0,2.0
R-HSA-9014826,3.0,1.0,4.0
R-HSA-9014843,2.0,1.0,3.0
R-HSA-8984722,7.0,1.0,8.0
R-HSA-9020591,22.0,1.0,23.0
R-HSA-9020933,3.0,1.0,4.0
R-HSA-9020956,8.0,1.0,9.0
R-HSA-451306,5.0,1.0,6.0
R-HSA-500657,16.0,1.0,17.0
R-HSA-8983432,9.0,1.0,10.0
R-HSA-8985947,7.0,1.0,8.0
R-HSA-9020558,9.0,1.0,10.0
R-HSA-9020958,7.0,1.0,8.0
R-HSA-912526,15.0,2.0,17.0
R-HSA-5467340,10.0,1.0,11.0
R-HSA-5467345,1.0,1.0,2.0
R-HSA-5358747,11.0,1.0,12.0
R-HSA-5358749,11.0,1.0,12.0
R-HSA-5358751,11.0,1.0,12.0
R-HSA-5358752,11.0,1.0,12.0
R-HSA-5467333,1.0,1.0,2.0
R-HSA-5467337,10.0,1.0,11.0
R-HSA-5467343,1.0,1.0,2.0
R-HSA-5467348,10.0,1.0,11.0
R-HSA-912631,17.0,1.0,18.0
R-HSA-901042,20.0,1.0,21.0
R-HSA-549127,1.0,1.0,2.0
R-HSA-561048,2.0,1.0,3.0
R-HSA-5607761,37.0,1.0,38.0
R-HSA-5607763,7.0,1.0,8.0
R-HSA-5660668,2.0,1.0,3.0
R-HSA-5625886,5.0,1.0,6.0
R-HSA-5637810,12.0,1.0,13.0
R-HSA-1236382,15.0,1.0,16.0
R-HSA-5638303,1.0,1.0,2.0
R-HSA-5654687,21.0,1.0,22.0
R-HSA-5654696,20.0,1.0,21.0
R-HSA-5654708,18.0,1.0,19.0
R-HSA-5654716,21.0,1.0,22.0
R-HSA-5654726,25.0,1.0,26.0
R-HSA-5654727,24.0,1.0,25.0
R-HSA-5654732,22.0,1.0,23.0
R-HSA-5654733,25.0,1.0,26.0
R-HSA-5658623,7.0,1.0,8.0
R-HSA-6803529,18.0,1.0,19.0
R-HSA-1839128,1.0,1.0,2.0
R-HSA-8853334,8.0,1.0,9.0
R-HSA-8853338,15.0,1.0,16.0
R-HSA-5658442,46.0,1.0,47.0
R-HSA-5673000,18.0,1.0,19.0
R-HSA-5674135,28.0,1.0,29.0
R-HSA-5675221,27.0,1.0,28.0
R-HSA-5218900,8.0,1.0,9.0
R-HSA-5685942,48.0,1.0,49.0
R-HSA-5685938,29.0,1.0,30.0
R-HSA-5693607,49.0,1.0,50.0
R-HSA-6799198,24.0,1.0,25.0
R-HSA-844455,2.0,1.0,3.0
R-HSA-844456,8.0,1.0,9.0
R-HSA-844615,1.0,1.0,2.0
R-HSA-844623,2.0,1.0,3.0
R-HSA-1059683,7.0,1.0,8.0
R-HSA-6788467,10.0,1.0,11.0
R-HSA-5659996,0.0,1.0,1.0
R-HSA-6791055,0.0,1.0,1.0
R-HSA-6791461,0.0,1.0,1.0
R-HSA-6791462,0.0,1.0,1.0
R-HSA-8943723,9.0,1.0,10.0
R-HSA-8943724,39.0,1.0,40.0
R-HSA-8948747,7.0,1.0,8.0
R-HSA-8948751,48.0,1.0,49.0
R-HSA-68616,5.0,1.0,6.0
R-HSA-68689,6.0,1.0,7.0
R-HSA-68827,37.0,1.0,38.0
R-HSA-162658,9.0,1.0,10.0
R-HSA-2299718,6.0,1.0,7.0
R-HSA-2465910,7.0,1.0,8.0
R-HSA-2500257,59.0,1.0,60.0
R-HSA-2514853,4.0,1.0,5.0
R-HSA-380320,57.0,1.0,58.0
R-HSA-2470946,8.0,1.0,9.0
R-HSA-69091,9.0,2.0,11.0
R-HSA-69183,10.0,1.0,11.0
R-HSA-187577,39.0,1.0,40.0
R-HSA-69205,9.0,1.0,10.0
R-HSA-69231,32.0,1.0,33.0
R-HSA-69273,12.0,1.0,13.0
R-HSA-156711,7.0,1.0,8.0
R-HSA-2565942,60.0,1.0,61.0
R-HSA-8852276,36.0,1.0,37.0
R-HSA-8854050,36.0,1.0,37.0
R-HSA-8854518,49.0,1.0,50.0
R-HSA-8854521,0.0,1.0,1.0
R-HSA-75035,6.0,1.0,7.0
R-HSA-69563,41.0,1.0,42.0
R-HSA-69610,34.0,1.0,35.0
R-HSA-170822,24.0,1.0,25.0
R-HSA-204174,9.0,1.0,10.0
R-HSA-72662,30.0,1.0,31.0
R-HSA-72689,42.0,1.0,43.0
R-HSA-72695,25.0,1.0,26.0
R-HSA-72702,30.0,1.0,31.0
R-HSA-72706,50.0,1.0,51.0
R-HSA-72731,7.0,1.0,8.0
R-HSA-110330,2.0,1.0,3.0
R-HSA-110331,2.0,1.0,3.0
R-HSA-110328,7.0,1.0,8.0
R-HSA-110329,7.0,1.0,8.0
R-HSA-2393930,5.0,1.0,6.0
R-HSA-74713,3.0,1.0,4.0
R-HSA-74749,6.0,1.0,7.0
R-HSA-75876,13.0,1.0,14.0
R-HSA-69229,34.0,1.0,35.0
R-HSA-77286,8.0,1.0,9.0
R-HSA-71032,4.0,1.0,5.0
R-HSA-77288,1.0,1.0,2.0
R-HSA-877312,10.0,1.0,11.0
R-HSA-6811434,48.0,1.0,49.0
R-HSA-6811436,26.0,1.0,27.0
R-HSA-1358803,11.0,1.0,12.0
R-HSA-8866904,8.0,1.0,9.0
R-HSA-8866906,1.0,1.0,2.0
R-HSA-8866907,6.0,1.0,7.0
R-HSA-8866910,8.0,1.0,9.0
R-HSA-8866911,4.0,1.0,5.0
R-HSA-8869496,3.0,1.0,4.0
R-HSA-8874081,3.0,1.0,4.0
R-HSA-8875513,1.0,1.0,2.0
R-HSA-8875555,9.0,1.0,10.0
R-HSA-8941855,5.0,1.0,6.0
R-HSA-8941856,10.0,1.0,11.0
R-HSA-8941858,33.0,1.0,34.0
R-HSA-8949275,2.0,1.0,3.0
R-HSA-8951430,7.0,1.0,8.0
R-HSA-8951671,3.0,1.0,4.0
R-HSA-8951911,2.0,1.0,3.0
R-HSA-8951936,5.0,1.0,6.0
R-HSA-8952158,3.0,1.0,4.0
R-HSA-8939902,46.0,1.0,47.0
R-HSA-8941326,22.0,1.0,23.0
R-HSA-8941332,6.0,1.0,7.0
R-HSA-8941333,3.0,1.0,4.0
R-HSA-8877330,4.0,1.0,5.0
R-HSA-8931987,6.0,1.0,7.0
R-HSA-8934593,16.0,1.0,17.0
R-HSA-8935964,3.0,1.0,4.0
R-HSA-8936459,28.0,1.0,29.0
R-HSA-8939236,47.0,1.0,48.0
R-HSA-8939242,6.0,1.0,7.0
R-HSA-8939243,28.0,1.0,29.0
R-HSA-8939245,5.0,1.0,6.0
R-HSA-8939246,5.0,1.0,6.0
R-HSA-8939247,5.0,1.0,6.0
R-HSA-8939256,5.0,1.0,6.0
R-HSA-888568,1.0,1.0,2.0
R-HSA-888593,0.0,1.0,1.0
R-HSA-916853,1.0,1.0,2.0
R-HSA-9024909,1.0,1.0,2.0
R-HSA-9025046,2.0,1.0,3.0
R-HSA-9026357,1.0,1.0,2.0
R-HSA-9026519,5.0,1.0,6.0
R-HSA-9026527,2.0,1.0,3.0
R-HSA-9028335,4.0,1.0,5.0
R-HSA-9028731,7.0,1.0,8.0
R-HSA-9032500,5.0,1.0,6.0
R-HSA-9032845,5.0,1.0,6.0
R-HSA-9017802,5.0,1.0,6.0
R-HSA-9018676,3.0,1.0,4.0
R-HSA-9018681,2.0,1.0,3.0
R-HSA-9018682,3.0,1.0,4.0
R-HSA-9020265,3.0,1.0,4.0
R-HSA-9026395,0.0,1.0,1.0
R-HSA-9018896,3.0,1.0,4.0
R-HSA-9023661,3.0,1.0,4.0
R-HSA-9025094,2.0,1.0,3.0
R-HSA-9025106,1.0,1.0,2.0
R-HSA-9034013,2.0,1.0,3.0
R-HSA-9034793,3.0,1.0,4.0
R-HSA-9034864,6.0,1.0,7.0
R-HSA-9603381,6.0,1.0,7.0
R-HSA-9603505,3.0,1.0,4.0
R-HSA-167060,2.0,1.0,3.0
R-HSA-912694,14.0,1.0,15.0
R-HSA-977068,9.0,1.0,10.0
R-HSA-964739,3.0,1.0,4.0
R-HSA-975576,16.0,1.0,17.0
R-HSA-977441,8.0,1.0,9.0
R-HSA-977442,2.0,1.0,3.0
R-HSA-977444,23.0,1.0,24.0
R-HSA-75205,4.0,1.0,5.0
R-HSA-75892,7.0,1.0,8.0
R-HSA-111452,2.0,1.0,3.0
R-HSA-111453,4.0,1.0,5.0
R-HSA-111457,2.0,1.0,3.0
R-HSA-114294,2.0,1.0,3.0
R-HSA-75108,3.0,1.0,4.0
R-HSA-110312,10.0,1.0,11.0
R-HSA-110320,11.0,1.0,12.0
R-HSA-5655862,11.0,1.0,12.0
R-HSA-5656121,11.0,1.0,12.0
R-HSA-5656169,21.0,1.0,22.0
R-HSA-112303,3.0,1.0,4.0
R-HSA-181429,8.0,1.0,9.0
R-HSA-181430,7.0,1.0,8.0
R-HSA-210500,11.0,1.0,12.0
R-HSA-212676,10.0,1.0,11.0
R-HSA-264642,10.0,1.0,11.0
R-HSA-210455,3.0,1.0,4.0
R-HSA-112308,8.0,1.0,9.0
R-HSA-426048,3.0,1.0,4.0
R-HSA-1433617,6.0,1.0,7.0
R-HSA-1300642,5.0,1.0,6.0
R-HSA-1300644,5.0,1.0,6.0
R-HSA-1300645,0.0,1.0,1.0
R-HSA-1300652,2.0,1.0,3.0
R-HSA-2534343,0.0,1.0,1.0
R-HSA-1250196,14.0,1.0,15.0
R-HSA-1251932,3.0,1.0,4.0
R-HSA-1306955,4.0,1.0,5.0
R-HSA-1963640,9.0,1.0,10.0
R-HSA-1963642,10.0,1.0,11.0
R-HSA-6785631,9.0,1.0,10.0
R-HSA-8847993,8.0,1.0,9.0
R-HSA-1250342,6.0,1.0,7.0
R-HSA-1250347,8.0,1.0,9.0
R-HSA-1251985,17.0,1.0,18.0
R-HSA-1253288,7.0,1.0,8.0
R-HSA-198323,13.0,1.0,14.0
R-HSA-198693,8.0,1.0,9.0
R-HSA-381340,39.0,1.0,40.0
R-HSA-5682910,7.0,1.0,8.0
R-HSA-1170546,9.0,1.0,10.0
R-HSA-982772,13.0,1.0,14.0
R-HSA-198933,30.0,1.0,31.0
R-HSA-2132295,65.0,1.0,66.0
R-HSA-392517,8.0,1.0,9.0
R-HSA-8851680,8.0,1.0,9.0
R-HSA-1296025,2.0,1.0,3.0
R-HSA-1296053,2.0,1.0,3.0
R-HSA-1296067,2.0,1.0,3.0
R-HSA-1296052,3.0,1.0,4.0
R-HSA-1296061,3.0,1.0,4.0
R-HSA-1296072,17.0,1.0,18.0
R-HSA-1299287,0.0,1.0,1.0
R-HSA-1299308,2.0,1.0,3.0
R-HSA-1299316,0.0,1.0,1.0
R-HSA-1299344,1.0,1.0,2.0
R-HSA-1299361,2.0,1.0,3.0
R-HSA-1299503,0.0,1.0,1.0
R-HSA-2395516,2.0,1.0,3.0
R-HSA-140834,3.0,1.0,4.0
R-HSA-140837,6.0,1.0,7.0
R-HSA-140875,12.0,1.0,13.0
R-HSA-1475029,6.0,1.0,7.0
R-HSA-2564830,9.0,1.0,10.0
R-HSA-71737,1.0,1.0,2.0
R-HSA-1433559,11.0,1.0,12.0
R-HSA-1442490,14.0,1.0,15.0
R-HSA-1592389,14.0,1.0,15.0
R-HSA-1566977,1.0,1.0,2.0
R-HSA-216083,26.0,1.0,27.0
R-HSA-3000157,12.0,1.0,13.0
R-HSA-3000178,23.0,1.0,24.0
R-HSA-8941237,3.0,1.0,4.0
R-HSA-1237044,7.0,1.0,8.0
R-HSA-1247673,3.0,1.0,4.0
R-HSA-1855156,0.0,1.0,1.0
R-HSA-1855167,5.0,1.0,6.0
R-HSA-1855170,0.0,1.0,1.0
R-HSA-1855183,11.0,1.0,12.0
R-HSA-1855184,0.0,1.0,1.0
R-HSA-1855191,3.0,1.0,4.0
R-HSA-1855192,0.0,1.0,1.0
R-HSA-1855196,0.0,1.0,1.0
R-HSA-1855204,17.0,1.0,18.0
R-HSA-1855215,0.0,1.0,1.0
R-HSA-1855229,0.0,1.0,1.0
R-HSA-1855231,0.0,1.0,1.0
R-HSA-1221632,22.0,1.0,23.0
R-HSA-912446,15.0,1.0,16.0
R-HSA-373753,14.0,1.0,15.0
R-HSA-391160,7.0,1.0,8.0
R-HSA-2473224,3.0,1.0,4.0
R-HSA-156581,9.0,1.0,10.0
R-HSA-156582,0.0,1.0,1.0
R-HSA-174362,3.0,2.0,5.0
R-HSA-2129379,14.0,1.0,15.0
R-HSA-156902,33.0,1.0,34.0
R-HSA-171306,6.0,1.0,7.0
R-HSA-499943,14.0,1.0,15.0
R-HSA-2151201,21.0,1.0,22.0
R-HSA-2151209,7.0,1.0,8.0
R-HSA-8949613,8.0,1.0,9.0
R-HSA-1237112,5.0,1.0,6.0
R-HSA-1614603,2.0,1.0,3.0
R-HSA-2028269,13.0,1.0,14.0
R-HSA-2586552,9.0,1.0,10.0
R-HSA-162699,1.0,1.0,2.0
R-HSA-162710,12.0,1.0,13.0
R-HSA-162791,4.0,1.0,5.0
R-HSA-163210,0.0,1.0,1.0
R-HSA-164378,8.0,1.0,9.0
R-HSA-163358,1.0,1.0,2.0
R-HSA-163680,6.0,1.0,7.0
R-HSA-163754,1.0,1.0,2.0
R-HSA-163765,4.0,1.0,5.0
R-HSA-163767,4.0,1.0,5.0
R-HSA-1663150,5.0,1.0,6.0
R-HSA-204626,4.0,1.0,5.0
R-HSA-5358493,7.0,1.0,8.0
R-HSA-8948216,20.0,1.0,21.0
R-HSA-165181,3.0,1.0,4.0
R-HSA-166208,11.0,1.0,12.0
R-HSA-380972,24.0,1.0,25.0
R-HSA-166665,3.0,1.0,4.0
R-HSA-174577,0.0,1.0,1.0
R-HSA-977606,15.0,1.0,16.0
R-HSA-1222556,15.0,1.0,16.0
R-HSA-6798695,254.0,1.0,255.0
R-HSA-879415,9.0,1.0,10.0
R-HSA-168638,24.0,1.0,25.0
R-HSA-1679131,8.0,1.0,9.0
